# units: x[m] radius[m] area_ratio[-]
x,radius,area_ratio
0,0.1171324037,2.8
0.002682926829,0.1171324037,2.8
0.005365853659,0.1171324037,2.8
0.008048780488,0.1171324037,2.8
0.01073170732,0.1171324037,2.8
0.01341463415,0.1171324037,2.8
0.01609756098,0.1171324037,2.8
0.0187804878,0.1171324037,2.8
0.02146341463,0.1171324037,2.8
0.02414634146,0.1171324037,2.8
0.02682926829,0.1171324037,2.8
0.02951219512,0.1171324037,2.8
0.03219512195,0.1171324037,2.8
0.03487804878,0.1171324037,2.8
0.03756097561,0.1171324037,2.8
0.04024390244,0.1171324037,2.8
0.04292682927,0.1171324037,2.8
0.0456097561,0.1171324037,2.8
0.04829268293,0.1171324037,2.8
0.05097560976,0.1171324037,2.8
0.05365853659,0.1171324037,2.8
0.05634146341,0.1171324037,2.8
0.05902439024,0.1171324037,2.8
0.06170731707,0.1171324037,2.8
0.0643902439,0.1171324037,2.8
0.06707317073,0.1171324037,2.8
0.06975609756,0.1171324037,2.8
0.07243902439,0.1171324037,2.8
0.07512195122,0.1171324037,2.8
0.07780487805,0.1171324037,2.8
0.08048780488,0.1171324037,2.8
0.08317073171,0.1171324037,2.8
0.08585365854,0.1171324037,2.8
0.08853658537,0.1171324037,2.8
0.0912195122,0.1171324037,2.8
0.09390243902,0.1171324037,2.8
0.09658536585,0.1171324037,2.8
0.09926829268,0.1171324037,2.8
0.1019512195,0.1171324037,2.8
0.1046341463,0.1171324037,2.8
0.1073170732,0.1171324037,2.8
0.11,0.1171324037,2.8
0.1126829268,0.1171324037,2.8
0.1153658537,0.1171324037,2.8
0.1180487805,0.1171324037,2.8
0.1207317073,0.1171324037,2.8
0.1234146341,0.1171324037,2.8
0.126097561,0.1171324037,2.8
0.1287804878,0.1171324037,2.8
0.1314634146,0.1171324037,2.8
0.1341463415,0.1171324037,2.8
0.1368292683,0.1171324037,2.8
0.1395121951,0.1171324037,2.8
0.142195122,0.1171324037,2.8
0.1448780488,0.1171324037,2.8
0.1475609756,0.1171324037,2.8
0.1502439024,0.1171324037,2.8
0.1529268293,0.1171324037,2.8
0.1556097561,0.1171324037,2.8
0.1582926829,0.1171324037,2.8
0.1609756098,0.1171324037,2.8
0.1636585366,0.1171324037,2.8
0.1663414634,0.1171324037,2.8
0.1690243902,0.1171324037,2.8
0.1717073171,0.1171324037,2.8
0.1743902439,0.1171324037,2.8
0.1770731707,0.1171324037,2.8
0.1797560976,0.1171324037,2.8
0.1824390244,0.1171324037,2.8
0.1851219512,0.1171324037,2.8
0.187804878,0.1171324037,2.8
0.1904878049,0.1171324037,2.8
0.1931707317,0.1171324037,2.8
0.1958536585,0.1171324037,2.8
0.1985365854,0.1171324037,2.8
0.2012195122,0.1171324037,2.8
0.203902439,0.1171324037,2.8
0.2065853659,0.1171324037,2.8
0.2092682927,0.1171324037,2.8
0.2119512195,0.1171324037,2.8
0.2146341463,0.1171324037,2.8
0.2173170732,0.1171324037,2.8
0.22,0.1171324037,2.8
0.2226621001,0.1170718702,2.79710669
0.2253242002,0.1168898925,2.78841775
0.2279863003,0.1165853281,2.773905862
0.2306484003,0.116156232,2.753524537
0.2333105004,0.1155997935,2.727206584
0.2359726005,0.1149122402,2.694861824
0.2386347006,0.1140887012,2.656373825
0.2412968007,0.1131230189,2.611595387
0.2439589008,0.1120074881,2.560342324
0.2466210008,0.1107324967,2.502384861
0.2492831009,0.1092860205,2.437435565
0.252013104,0.1077098525,2.367635167
0.254743107,0.1061336845,2.298848772
0.2574731101,0.1045575165,2.231076379
0.2602031131,0.1029813485,2.164317988
0.2629331161,0.1014051805,2.098573599
0.2656631192,0.09982901252,2.033843212
0.2683931222,0.09825284453,1.970126828
0.2711231253,0.09667667654,1.907424446
0.2738531283,0.09510050854,1.845736066
0.2765831314,0.09352434055,1.785061689
0.2793131344,0.09194817256,1.725401314
0.2820431374,0.09037200457,1.666754941
0.2847731405,0.08879583658,1.60912257
0.2875031435,0.08721966859,1.552504202
0.2902331466,0.08564350059,1.496899836
0.2929631496,0.0840673326,1.442309472
0.2955881496,0.08260149149,1.392450285
0.2982131496,0.08123200173,1.346660838
0.3008381496,0.0799546983,1.304643629
0.3034631496,0.07876591041,1.266136458
0.3060881496,0.07766239486,1.230907668
0.3087131496,0.07664128153,1.198752252
0.3113381496,0.07570002832,1.16948863
0.3139631496,0.07483638385,1.142955989
0.3165881496,0.07404835625,1.119012054
0.3192131496,0.07333418716,1.097531226
0.3218381496,0.07269232983,1.078403024
0.3244631496,0.0721214308,1.061530772
0.3270881496,0.0716203145,1.0468305
0.3297131496,0.07118797035,1.034230025
0.3323381496,0.07082354213,1.023668188
0.3349631496,0.0705263191,1.015094222
0.3375881496,0.07029572896,1.008467247
0.3402131496,0.07013133213,1.003755867
0.3428381496,0.07003281763,1.000937866
0.3454631496,0.07,1
0.3478904242,0.07011039358,1.003156589
0.3503176989,0.0704443549,1.01273615
0.3527449735,0.07101058802,1.02908237
0.3551722481,0.07182492413,1.052820352
0.3575995228,0.07291278769,1.084954002
0.3600267974,0.07431394901,1.127053677
0.362710674,0.07605142114,1.180371155
0.3653945506,0.07777804457,1.234576371
0.3680784272,0.07949391825,1.2896496
0.3707623039,0.08119913968,1.345571487
0.3734461805,0.08289380485,1.402323037
0.3761300571,0.08457800834,1.459885611
0.3788139337,0.08625184332,1.518240913
0.3814978103,0.08791540159,1.577370987
0.3841816869,0.0895687736,1.637258205
0.3868655635,0.09121204848,1.697885263
0.3895494401,0.09284531407,1.759235172
0.3922333168,0.09446865694,1.821291254
0.3949171934,0.09608216242,1.88403713
0.39760107,0.09768591463,1.947456718
0.4002849466,0.09927999649,2.011534225
0.4029688232,0.1008644898,2.076254141
0.4056526998,0.102439475,2.141601234
0.4083365764,0.1040050318,2.20756054
0.411020453,0.1055612385,2.274117362
0.4137043297,0.1071081724,2.341257263
0.4163882063,0.1086459097,2.408966059
0.4190720829,0.1101745256,2.477229816
0.4217559595,0.1116940944,2.546034842
0.4244398361,0.1132046892,2.615367686
0.4271237127,0.1147063822,2.685215128
0.4298075893,0.1161992447,2.755564179
0.4324914659,0.117683347,2.826402073
0.4351753426,0.1191587584,2.897716265
0.4378592192,0.1206255473,2.969494423
0.4405430958,0.1220837815,3.041724429
0.4432269724,0.1235335275,3.114394368
0.445910849,0.1249748511,3.187492532
0.4485947256,0.1264078174,3.261007407
0.4512786022,0.1278324905,3.334927677
0.4539624788,0.1292489337,3.409242214
0.4566463555,0.1306572095,3.483940081
0.4593302321,0.1320573797,3.559010519
0.4620141087,0.1334495053,3.634442954
0.4646979853,0.1348336465,3.710226986
0.4673818619,0.1362098627,3.786352387
0.4700657385,0.1375782126,3.8628091
0.4727496151,0.1389387543,3.939587235
0.4754334918,0.1402915451,4.016677064
0.4781173684,0.1416366414,4.09406902
0.480801245,0.1429740994,4.171753691
0.4834851216,0.1443039741,4.249721824
0.4861689982,0.1456263202,4.327964311
0.4888528748,0.1469411915,4.406472198
0.4915367514,0.1482486415,4.485236674
0.494220628,0.1495487227,4.564249071
0.4969045047,0.1508414871,4.643500862
0.4995883813,0.1521269862,4.722983658
0.5022722579,0.1534052708,4.802689206
0.5049561345,0.1546763911,4.882609383
0.5076400111,0.1559403969,4.9627362
0.5103238877,0.1571973371,5.043061793
0.5130077643,0.1584472603,5.123578427
0.5156916409,0.1596902145,5.204278489
0.5183755176,0.160926247,5.285154486
0.5210593942,0.1621554048,5.366199045
0.5237432708,0.1633777343,5.447404913
0.5264271474,0.1645932813,5.528764947
0.529111024,0.165802091,5.610272121
0.5317949006,0.1670042084,5.691919518
0.5344787772,0.1681996778,5.773700331
0.5371626538,0.169388543,5.85560786
0.5398465305,0.1705708474,5.937635509
0.5425304071,0.1717466339,6.019776789
0.5452142837,0.1729159449,6.102025308
0.5478981603,0.1740788224,6.184374778
0.5505820369,0.1752353079,6.266819008
0.5532659135,0.1763854425,6.349351903
0.5559497901,0.1775292668,6.431967463
0.5586336667,0.178666821,6.514659782
0.5613175434,0.1797981449,6.597423045
0.56400142,0.1809232779,6.68025153
0.5666852966,0.1820422589,6.763139599
0.5693691732,0.1831551265,6.846081706
0.5720530498,0.1842619187,6.929072388
0.5747369264,0.1853626734,7.012106267
0.577420803,0.186457428,7.095178049
0.5801046796,0.1875462192,7.17828252
0.5827885563,0.1886290839,7.261414547
0.5854724329,0.1897060581,7.344569078
0.5881563095,0.1907771778,7.427741136
0.5908401861,0.1918424784,7.510925821
0.5935240627,0.1929019951,7.594118309
0.5962079393,0.1939557627,7.677313851
0.5988918159,0.1950038155,7.760507768
0.6015756925,0.1960461877,7.843695455
0.6042595692,0.1970829131,7.926872376
0.6069434458,0.1981140251,8.010034066
0.6096273224,0.1991395567,8.093176128
0.612311199,0.2001595407,8.176294231
0.6149950756,0.2011740096,8.259384111
0.6176789522,0.2021829956,8.34244157
0.6203628288,0.2031865303,8.425462472
0.6230467054,0.2041846455,8.508442745
0.6257305821,0.2051773722,8.59137838
0.6284144587,0.2061647414,8.674265429
0.6310983353,0.2071467838,8.757100004
0.6337822119,0.2081235295,8.839878275
0.6364660885,0.2090950088,8.922596472
0.6391499651,0.2100612514,9.005250883
0.6418338417,0.2110222866,9.087837849
0.6445177183,0.2119781439,9.170353772
0.647201595,0.212928852,9.252795104
0.6498854716,0.2138744397,9.335158355
0.6525693482,0.2148149353,9.417440086
0.6552532248,0.215750367,9.49963691
0.6579371014,0.2166807627,9.581745494
0.660620978,0.21760615,9.663762553
0.6633048546,0.2185265563,9.745684855
0.6659887312,0.2194420086,9.827509216
0.6686726079,0.220352534,9.909232499
0.6713564845,0.221258159,9.990851618
0.6740403611,0.22215891,10.07236353
0.6767242377,0.2230548133,10.15376525
0.6794081143,0.2239458946,10.23505382
0.6820919909,0.2248321798,10.31622634
0.6847758675,0.2257136942,10.39727995
0.6874597441,0.2265904632,10.47821184
0.6901436208,0.2274625118,10.55901924
0.6928274974,0.2283298647,10.63969941
0.695511374,0.2291925467,10.72024968
0.6981952506,0.2300505819,10.8006674
0.7008791272,0.2309039947,10.88094995
0.7035630038,0.231752809,10.96109479
0.7062468804,0.2325970484,11.04109937
0.708930757,0.2334367366,11.12096123
0.7116146337,0.234271897,11.2006779
0.7142985103,0.2351025526,11.28024699
0.7169823869,0.2359287264,11.35966611
0.7196662635,0.2367504412,11.43893294
0.7223501401,0.2375677195,11.51804517
0.7250340167,0.2383805837,11.59700054
0.7277178933,0.2391890559,11.67579683
0.7304017699,0.2399931583,11.75443184
0.7330856466,0.2407929126,11.83290342
0.7357695232,0.2415883404,11.91120943
0.7384533998,0.2423794633,11.9893478
0.7411372764,0.2431663024,12.06731645
0.743821153,0.2439488789,12.14511337
0.7465050296,0.2447272137,12.22273656
0.7491889062,0.2455013277,12.30018406
0.7518727828,0.2462712413,12.37745393
0.7545566595,0.247036975,12.45454429
0.7572405361,0.2477985491,12.53145325
0.7599244127,0.2485559837,12.60817899
0.7626082893,0.2493092987,12.68471968
0.7652921659,0.2500585139,12.76107354
0.7679760425,0.2508036489,12.83723884
0.7706599191,0.2515447232,12.91321383
0.7733437957,0.252281756,12.98899682
0.7760276724,0.2530147667,13.06458615
0.778711549,0.253743774,13.13998018
0.7813954256,0.254468797,13.21517728
0.7840793022,0.2551898543,13.29017587
0.7867631788,0.2559069645,13.36497438
0.7894470554,0.256620146,13.43957129
0.792130932,0.2573294171,13.51396508
0.7948148086,0.2580347959,13.58815426
0.7974986853,0.2587363004,13.66213738
0.8001825619,0.2594339485,13.73591299
0.8028664385,0.2601277579,13.80947968
0.8055503151,0.2608177462,13.88283606
0.8082341917,0.2615039308,13.95598078
0.8109180683,0.262186329,14.02891247
0.8136019449,0.2628649581,14.10162984
0.8162858215,0.2635398351,14.17413157
0.8189696982,0.2642109769,14.24641639
0.8216535748,0.2648784004,14.31848306
0.8243374514,0.2655421221,14.39033033
0.827021328,0.2662021587,14.461957
0.8297052046,0.2668585267,14.53336189
0.8323890812,0.2675112422,14.60454382
0.8350729578,0.2681603215,14.67550164
0.8377568344,0.2688057807,14.74623423
0.8404407111,0.2694476357,14.81674048
0.8431245877,0.2700859023,14.88701931
0.8458084643,0.2707205963,14.95706965
0.8484923409,0.2713517333,15.02689044
0.8511762175,0.2719793287,15.09648066
0.8538600941,0.272603398,15.16583931
0.8565439707,0.2732239564,15.23496538
0.8592278473,0.273841019,15.3038579
0.861911724,0.274454601,15.37251592
0.8645956006,0.2750647172,15.4409385
0.8672794772,0.2756713825,15.50912473
0.8699633538,0.2762746117,15.57707369
0.8726472304,0.2768744193,15.6447845
