# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
15000,12111.8257,161580.5816,162337.1417,155479.953,6857.188748,342.9937563,344.5997376,1.908448851,34384.38661,2.838910291,3.459541588,3236.623056,0,0,under-expanded
15500,11197.77435,161861.9962,162618.5563,155479.953,7138.603295,343.5911265,345.1971079,1.911772675,34384.38661,3.070644715,3.459541588,3236.623056,0,0,under-expanded
16000,10352.8318,162122.1338,162878.6939,155479.953,7398.740894,344.1433313,345.7493127,1.914845193,34384.38661,3.32125425,3.459541588,3236.623056,0,0,under-expanded
16500,9571.763313,162362.6061,163119.1662,155479.953,7639.213198,344.6537918,346.2597731,1.917685442,34384.38661,3.592272969,3.459541588,3236.623056,0,0,under-expanded
17000,8849.731384,162584.9024,163341.4625,155479.953,7861.509558,345.1256695,346.7316508,1.920311013,34384.38661,3.885359354,3.459541588,3236.623056,0,0,under-expanded
17500,8182.26555,162790.3992,163546.9593,155479.953,8067.006322,345.5618859,347.1678672,1.922738161,34384.38661,4.202306367,3.459541588,3236.623056,0,0,under-expanded
18000,7565.234491,162980.3683,163736.9284,155479.953,8256.975426,345.9651411,347.5711224,1.92498191,34384.38661,4.545052325,3.459541588,3236.623056,0,0,under-expanded
18500,6994.820253,163155.9852,163912.5453,155479.953,8432.592325,346.3379304,347.9439117,1.927056144,34384.38661,4.915692665,3.459541588,3236.623056,0,0,under-expanded
19000,6467.494435,163318.3362,164074.8963,155479.953,8594.943331,346.6825595,348.2885408,1.928973692,34384.38661,5.316492648,3.459541588,3236.623056,0,0,under-expanded
19500,5979.996187,163468.4253,164224.9854,155479.953,8745.032381,347.0011597,348.607141,1.930746413,34384.38661,5.749901093,3.459541588,3236.623056,0,0,under-expanded
20000,5529.311892,163607.1802,164363.7403,155479.953,8883.787295,347.2957005,348.9016818,1.932385265,34384.38661,6.218565218,3.459541588,3236.623056,0,0,under-expanded
20500,5113.006547,163735.3506,164491.9107,155479.953,9011.957753,347.5677732,349.1737545,1.933899103,34384.38661,6.724886092,3.459541588,3236.623056,0,0,under-expanded
21000,4728.942293,163853.5948,164610.1549,155479.953,9130.20195,347.8187751,349.4247564,1.9352957,34384.38661,7.271052275,3.459541588,3236.623056,0,0,under-expanded
21500,4374.559365,163962.7008,164719.261,155479.953,9239.307976,348.0503789,349.6563602,1.936584365,34384.38661,7.860080009,3.459541588,3236.623056,0,0,under-expanded
22000,4047.500024,164063.3946,164819.9547,155479.953,9340.001724,348.2641257,349.870107,1.937773672,34384.38661,8.495215914,3.459541588,3236.623056,0,0,under-expanded
22500,3745.598861,164156.3427,164912.9029,155479.953,9432.949871,348.4614305,350.0674118,1.938871494,34384.38661,9.179943687,3.459541588,3236.623056,0,0,under-expanded
23000,3466.8667,164242.1577,164998.7178,155479.953,9518.764836,348.6435935,350.2495748,1.939885066,34384.38661,9.918000774,3.459541588,3236.623056,0,0,under-expanded
23500,3209.475882,164321.4022,165077.9623,155479.953,9598.009312,348.811809,350.4177903,1.940821033,34384.38661,10.71339617,3.459541588,3236.623056,0,0,under-expanded
24000,2971.746808,164394.5933,165151.1534,155479.953,9671.200408,348.9671748,350.5731561,1.941685502,34384.38661,11.57042939,3.459541588,3236.623056,0,0,under-expanded
24500,2752.135629,164462.2063,165218.7664,155479.953,9738.813436,349.1106997,350.716681,1.942484088,34384.38661,12.49371079,3.459541588,3236.623056,0,0,under-expanded
25000,2549.222992,164524.6783,165281.2384,155479.953,9801.285384,349.2433115,350.8492928,1.943221952,34384.38661,13.48818315,3.459541588,3236.623056,0,0,under-expanded
25500,2361.703737,164582.411,165338.9711,155479.953,9859.018077,349.3658631,350.9718444,1.94390384,34384.38661,14.55914477,3.459541588,3236.623056,0,0,under-expanded
26000,2188.377466,164635.774,165392.3341,155479.953,9912.38109,349.4791389,351.0851202,1.944534118,34384.38661,15.71227411,3.459541588,3236.623056,0,0,under-expanded
26500,2028.139922,164685.1073,165441.6674,155479.953,9961.714397,349.5838608,351.1898421,1.9451168,34384.38661,16.95365603,3.459541588,3236.623056,0,0,under-expanded
27000,1879.975079,164730.7237,165487.2838,155479.953,10007.33081,349.6806926,351.2866739,1.945655581,34384.38661,18.28980979,3.459541588,3236.623056,0,0,under-expanded
27500,1742.947917,164772.9111,165529.4712,155479.953,10049.51819,349.7702455,351.3762268,1.946153862,34384.38661,19.72771893,3.459541588,3236.623056,0,0,under-expanded
28000,1616.197786,164811.9344,165568.4945,155479.953,10088.54153,349.8530819,351.4590632,1.946614771,34384.38661,21.27486308,3.459541588,3236.623056,0,0,under-expanded
28500,1498.932342,164848.0376,165604.5977,155479.953,10124.64475,349.9297197,351.5357011,1.947041191,34384.38661,22.93925192,3.459541588,3236.623056,0,0,under-expanded
29000,1390.421982,164881.4454,165638.0055,155479.953,10158.0525,350.0006357,351.606617,1.947435774,34384.38661,24.72946131,3.459541588,3236.623056,0,0,under-expanded
29500,1289.994745,164912.3645,165668.9246,155479.953,10188.97164,350.0662691,351.6722504,1.947800964,34384.38661,26.65467184,3.459541588,3236.623056,0,0,under-expanded
30000,1197.03164,164940.9856,165697.5457,155479.953,10217.59276,350.1270243,351.7330056,1.948139012,34384.38661,28.7247099,3.459541588,3236.623056,0,0,under-expanded
30500,1110.962361,164967.4843,165724.0444,155479.953,10244.09143,350.1832741,351.7892554,1.948451991,34384.38661,30.95009139,3.459541588,3236.623056,0,0,under-expanded
31000,1031.261357,164992.0223,165748.5824,155479.953,10268.62946,350.235362,351.8413433,1.948741813,34384.38661,33.3420683,3.459541588,3236.623056,0,0,under-expanded
31500,957.4442279,165014.7489,165771.309,155479.953,10291.35599,350.2836046,351.8895859,1.949010239,34384.38661,35.91267837,3.459541588,3236.623056,0,0,under-expanded
32000,889.0644172,165035.8014,165792.3615,155479.953,10312.4085,350.3282936,351.9342749,1.949258892,34384.38661,38.67479785,3.459541588,3236.623056,0,0,under-expanded
32500,825.7643749,165055.2899,165811.85,155479.953,10331.89707,350.3696628,351.9756441,1.949489074,34384.38661,41.63946479,3.459541588,3236.623056,0,0,under-expanded
33000,767.309456,165073.2868,165829.8469,155479.953,10349.89394,350.4078655,352.0138468,1.949701638,34384.38661,44.81162893,3.459541588,3236.623056,0,0,under-expanded
33500,713.3137976,165089.9108,165846.4709,155479.953,10366.51791,350.4431539,352.0491352,1.949897986,34384.38661,48.20373127,3.459541588,3236.623056,0,0,under-expanded
34000,663.4130475,165105.274,165861.8341,155479.953,10381.88116,350.4757661,352.0817474,1.950079443,34384.38661,51.82953025,3.459541588,3236.623056,0,0,under-expanded
