# units: nozzle.expansion_ratio[-] performance.altitude[m] performance.isp[s] performance.isp_vacuum[s] performance.thrust[N] performance.cf[-] performance.exit_pressure[Pa] performance.exit_mach[-] performance.pressure_ratio[-] status[-]
nozzle.expansion_ratio,performance.altitude,performance.isp,performance.isp_vacuum,performance.thrust,performance.cf,performance.exit_pressure,performance.exit_mach,performance.pressure_ratio,status
9.333892409,10000,322.7856037,330.8681834,152060.7435,1.796008829,91709.59014,3.015747939,3.460752553,ok
9.333892409,30000,330.5030838,330.8681834,155696.3633,1.838949599,91709.59014,3.015747939,76.6141738,ok
9.333892409,80000,330.8678624,330.8681834,155868.2065,1.840979261,91709.59014,3.015747939,87137.19273,ok
10.25985568,0,299.6307601,333.601176,141152.7516,1.667173147,81177.16376,3.06999128,0.8011563164,ok
10.25985568,10000,324.7167688,333.601176,152970.4941,1.80675401,81177.16376,3.06999128,3.063300973,ok
10.25985568,30000,333.1998569,333.601176,156966.7834,1.853954693,81177.16376,3.06999128,67.81538685,ok
10.25985568,80000,333.6008232,333.601176,157155.6743,1.856185706,81177.16376,3.06999128,77129.88525,ok
11.27767859,0,298.9199015,336.2603324,140817.8739,1.663217864,71862.4887,3.124178518,0.709227621,ok
11.27767859,10000,326.4945528,336.2603324,153807.9885,1.816645763,71862.4887,3.124178518,2.71180245,ok
11.27767859,30000,335.8192006,336.2603324,158200.7274,1.868528963,71862.4887,3.124178518,60.03390911,ok
11.27767859,80000,336.2599445,336.2603324,158408.357,1.870981302,71862.4887,3.124178518,68279.61523,ok
12.39647402,0,297.8031599,338.8479262,140291.7893,1.657004211,63621.49681,3.178470771,0.6278953547,ok
12.39647402,10000,328.1133382,338.8479262,154570.5805,1.825652835,63621.49681,3.178470771,2.400820429,ok
12.39647402,30000,338.3630322,338.8479262,159399.0985,1.882683076,63621.49681,3.178470771,53.14938609,ok
12.39647402,80000,338.8474998,338.8479262,159627.3259,1.885378699,63621.49681,3.178470771,60449.49739,ok
13.62625888,0,296.2494774,341.3660655,139559.8666,1.648359378,56328.42468,3.233023743,0.555918329,ok
13.62625888,10000,329.566559,341.3660655,155255.1769,1.833738689,56328.42468,3.233023743,2.125609102,ok
13.62625888,30000,340.8330678,341.3660655,160562.7051,1.896426582,56328.42468,3.233023743,47.05675505,ok
13.62625888,80000,341.3655968,341.3660655,160813.5736,1.899389622,56328.42468,3.233023743,53520.03853,ok
14.97804383,0,294.22438,343.8167324,138605.8655,1.63709155,49873.15836,3.287978376,0.4922098037,ok
14.97804383,10000,330.8466629,343.8167324,155858.2197,1.840861305,49873.15836,3.287978376,1.88201321,ok
14.97804383,30000,343.230859,343.8167324,161692.2781,1.909768113,49873.15836,3.287978376,41.66402681,ok
14.97804383,80000,343.8162172,343.8167324,161968.0339,1.9130251,49873.15836,3.287978376,47386.6147,ok
16.4639318,0,291.6896844,346.2018167,137411.7983,1.62298827,44158.99664,3.343452626,0.4358154122,ok
16.4639318,10000,331.9450592,346.2018167,156375.6621,1.846972883,44158.99664,3.343452626,1.666383637,ok
16.4639318,30000,345.5578222,346.2018167,162788.4848,1.92271555,44158.99664,3.343452626,36.89041722,ok
16.4639318,80000,346.2012505,346.2018167,163091.5968,1.926295645,44158.99664,3.343452626,41957.34596,ok
18.09722641,0,288.6031665,348.5231427,135957.7737,1.6058146,39100.77788,3.399536108,0.3858946743,ok
18.09722641,10000,332.852052,348.5231427,156802.9364,1.852019475,39100.77788,3.399536108,1.475506724,ok
18.09722641,30000,347.8152611,348.5231427,163851.9394,1.935276148,39100.77788,3.399536108,32.66478225,ok
18.09722641,80000,348.5225203,348.5231427,164185.1215,1.939211404,39100.77788,3.399536108,37151.31659,ok
19.89255104,0,284.9181862,350.7824882,134221.8201,1.58531103,34623.31981,3.456288496,0.3417055989,ok
19.89255104,10000,333.5567562,350.7824882,157134.9148,1.855940514,34623.31981,3.456288496,1.306545392,ok
19.89255104,30000,350.0043816,350.7824882,164883.21,1.947456616,34623.31981,3.456288496,28.92431465,ok
19.89255104,80000,350.781804,350.7824882,165249.4452,1.951782266,34623.31981,3.456288496,32897.09273,ok
21.86597979,0,280.5832663,352.9815973,132179.687,1.561191137,30660.1231,3.513741447,0.3025918885,ok
21.86597979,10000,334.0469968,352.9815973,157365.8617,1.858668257,30660.1231,3.513741447,1.156990225,ok
21.86597979,30000,352.1262991,352.9815973,165882.822,1.959263161,30660.1231,3.513741447,25.61346089,ok
21.86597979,80000,352.9808453,352.9815973,166285.3893,1.964017935,30660.1231,3.513741447,29131.49052,ok
24.03518137,0,275.5416226,355.1221872,129804.6242,1.533138967,27152.29074,3.571903065,0.2679722748,ok
24.03518137,10000,334.3091909,355.1221872,157489.3785,1.86012713,27152.29074,3.571903065,1.024618683,ok
24.03518137,30000,354.1820397,355.1221872,166851.2587,1.970701491,27152.29074,3.571903065,22.68301841,ok
24.03518137,80000,355.1213606,355.1221872,167293.7625,1.975927959,27152.29074,3.571903065,25798.5494,ok
26.41957731,0,269.7306427,357.2059501,127067.1356,1.500806139,24047.61941,3.630763605,0.237331551,ok
