# units: species[-] mole_fraction[-] mass_fraction[-] moles_per_kg[mol/kg] molar_mass[kg/mol]
species,mole_fraction,mass_fraction,moles_per_kg,molar_mass
H2O,0.6333200408,0.9024323749,50.09338745,0.018015
H2,0.2998440256,0.0478126811,23.71660769,0.002016
H,0.03312737529,0.002641220927,2.620258856,0.001008
OH,0.03012678166,0.04052636219,2.382922455,0.017007
O,0.001959643402,0.002479859396,0.1550008998,0.015999
O2,0.001602636588,0.004056159806,0.1267629166,0.031998
HO2,1.394755116e-05,3.641229295e-05,0.001103202234,0.033006
H2O2,5.549142738e-06,1.492934566e-05,0.0004389176708,0.034014
