# units: performance.altitude[m] performance.thrust[N] performance.thrust_momentum[N] performance.thrust_pressure[N] performance.isp[s] performance.cf[-] performance.exit_pressure[Pa] performance.pressure_ratio[-] performance.exit_mach[-] status[-]
performance.altitude,performance.thrust,performance.thrust_momentum,performance.thrust_pressure,performance.isp,performance.cf,performance.exit_pressure,performance.pressure_ratio,performance.exit_mach,status
48000,173268.6687,165721.3634,8353.699759,367.8045402,2.046498338,12161.54833,118.8862892,3.973941466,ok
49000,173276.9528,165721.3634,8361.983901,367.8221253,2.046596183,12161.54833,134.6245303,3.973941466,ok
50000,173284.2664,165721.3634,8369.297443,367.83765,2.046682564,12161.54833,152.4402932,3.973941466,ok
51000,173290.7233,165721.3634,8375.754356,367.8513564,2.046758828,12161.54833,172.6070392,3.973941466,ok
52000,173296.4336,165721.3634,8381.464638,367.8634778,2.046826273,12161.54833,195.4769399,3.973941466,ok
53000,173301.5189,165721.3634,8386.549938,367.8742726,2.046886336,12161.54833,221.6280054,3.973941466,ok
54000,173306.0465,165721.3634,8391.077605,367.8838837,2.046939813,12161.54833,251.5958346,3.973941466,ok
55000,173310.073,165721.3634,8395.10406,367.8924308,2.04698737,12161.54833,285.9850516,3.973941466,ok
56000,173313.6494,165721.3634,8398.6805,367.9000227,2.047029611,12161.54833,325.5037752,3.973941466,ok
57000,173316.8223,165721.3634,8401.853337,367.9067578,2.047067086,12161.54833,370.9826855,3.973941466,ok
58000,173319.6335,165721.3634,8404.664603,367.9127254,2.04710029,12161.54833,423.3978588,3.973941466,ok
59000,173322.1213,165721.3634,8407.152328,367.9180061,2.047129673,12161.54833,483.8981657,3.973941466,ok
60000,173324.3198,165721.3634,8409.350878,367.9226731,2.047155641,12161.54833,553.8382091,3.973941466,ok
61000,173326.2602,165721.3634,8411.29128,367.9267921,2.047178559,12161.54833,634.8179985,3.973941466,ok
62000,173327.9705,165721.3634,8413.001516,367.9304225,2.047198759,12161.54833,728.7308351,3.973941466,ok
63000,173329.4757,165721.3634,8414.506789,367.9336178,2.047216538,12161.54833,837.8212269,3.973941466,ok
64000,173330.7987,165721.3634,8415.829778,367.9364261,2.047232164,12161.54833,964.7550788,3.973941466,ok
65000,173331.9598,165721.3634,8416.990866,367.9388908,2.047245877,12161.54833,1112.704945,3.973941466,ok
66000,173332.9773,165721.3634,8418.008346,367.9410507,2.047257895,12161.54833,1285.453805,3.973941466,ok
67000,173333.8676,165721.3634,8418.898622,367.9429405,2.04726841,12161.54833,1487.521658,3.973941466,ok
68000,173334.6453,165721.3634,8419.676382,367.9445915,2.047277596,12161.54833,1724.32034,3.973941466,ok
69000,173335.3237,165721.3634,8420.354759,367.9460315,2.047285609,12161.54833,2002.343255,3.973941466,ok
70000,173335.9144,165721.3634,8420.945485,367.9472855,2.047292586,12161.54833,2329.398503,3.973941466,ok
71000,173336.428,165721.3634,8421.459023,367.9483756,2.047298651,12161.54833,2714.895998,3.973941466,ok
72000,173336.8736,165721.3634,8421.90466,367.9493215,2.047303915,12161.54833,3170.166645,3.973941466,ok
73000,173337.2588,165721.3634,8422.289834,367.9501392,2.047308464,12161.54833,3707.542589,3.973941466,ok
74000,173337.5908,165721.3634,8422.621898,367.950844,2.047312386,12161.54833,4342.080974,3.973941466,ok
75000,173337.8767,165721.3634,8422.907794,367.9514509,2.047315763,12161.54833,5092.470928,3.973941466,ok
76000,173338.1225,165721.3634,8423.153608,367.9519727,2.047318666,12161.54833,5981.216685,3.973941466,ok
77000,173338.3336,165721.3634,8423.364668,367.9524208,2.047321159,12161.54833,7035.462301,3.973941466,ok
78000,173338.5146,165721.3634,8423.545634,367.9528049,2.047323297,12161.54833,8288.004788,3.973941466,ok
79000,173338.6695,165721.3634,8423.700575,367.9531338,2.047325127,12161.54833,9778.541072,3.973941466,ok
80000,173338.802,165721.3634,8423.83304,367.953415,2.047326691,12161.54833,11555.20572,3.973941466,ok
