# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
58000,28.72368879,164436.5847,165210.9573,159140.5659,6070.391371,341.3819109,342.9895627,1.942181468,8791.832923,306.0830031,4.454804411,3239.989707,0,0,under-expanded
60000,21.95866614,164441.271,165215.6435,159140.5659,6075.077645,341.3916399,342.9992917,1.942236819,8791.832923,400.3810098,4.454804411,3239.989707,0,0,under-expanded
62000,16.68866987,164444.9216,165219.2942,159140.5659,6078.728283,341.3992189,343.0068707,1.942279937,8791.832923,526.8144791,4.454804411,3239.989707,0,0,under-expanded
64000,12.60584017,164447.7499,165222.1224,159140.5659,6081.556546,341.4050906,343.0127424,1.942313342,8791.832923,697.4412497,4.454804411,3239.989707,0,0,under-expanded
66000,9.460898779,164449.9285,165224.301,159140.5659,6083.735113,341.4096134,343.0172652,1.942339073,8791.832923,929.2809414,4.454804411,3239.989707,0,0,under-expanded
68000,7.05295185,164451.5965,165225.969,159140.5659,6085.403149,341.4130764,343.0207282,1.942358774,8791.832923,1246.546568,4.454804411,3239.989707,0,0,under-expanded
70000,5.22089643,164452.8656,165227.2381,159140.5659,6086.672253,341.4157111,343.0233629,1.942373764,8791.832923,1683.969993,4.454804411,3239.989707,0,0,under-expanded
72000,3.836248908,164453.8248,165228.1973,159140.5659,6087.631427,341.4177024,343.0253542,1.942385093,8791.832923,2291.77854,4.454804411,3239.989707,0,0,under-expanded
74000,2.800857101,164454.542,165228.9146,159140.5659,6088.348665,341.4191915,343.0268433,1.942393564,8791.832923,3138.979465,4.454804411,3239.989707,0,0,under-expanded
76000,2.033290043,164455.0737,165229.4463,159140.5659,6088.880375,341.4202953,343.0279471,1.942399844,8791.832923,4323.944316,4.454804411,3239.989707,0,0,under-expanded
78000,1.467367435,164455.4658,165229.8383,159140.5659,6089.272402,341.4211092,343.028761,1.942404475,8791.832923,5991.568786,4.454804411,3239.989707,0,0,under-expanded
80000,1.052473545,164455.7532,165230.1257,159140.5659,6089.559807,341.4217059,343.0293577,1.942407869,8791.832923,8353.495406,4.454804411,3239.989707,0,0,under-expanded
