# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
14500,13100.65053,164264.433,165070.8274,165721.3634,-650.5359853,348.6908781,350.4026448,1.940148162,12161.54833,0.9283163688,3.973941466,3449.818291,0,0,over-expanded
15000,12111.8257,164949.4129,165755.8073,165721.3634,34.44391997,350.1449131,351.8566799,1.948238547,12161.54833,1.004105296,3.973941466,3449.818291,0,0,ideally-expanded
15500,11197.77435,165582.5956,166388.99,165721.3634,667.6266512,351.4889962,353.2007629,1.955717149,12161.54833,1.086068352,3.973941466,3449.818291,0,0,under-expanded
16000,10352.8318,166167.9052,166974.2996,165721.3634,1252.936249,352.731457,354.4432237,1.962630315,12161.54833,1.17470742,3.973941466,3449.818291,0,0,under-expanded
16500,9571.763313,166708.9679,167515.3623,165721.3634,1793.998933,353.879993,355.5917598,1.969020875,12161.54833,1.270565092,3.973941466,3449.818291,0,0,under-expanded
17000,8849.731384,167209.1347,168015.5291,165721.3634,2294.165743,354.9417177,356.6534845,1.974928409,12161.54833,1.374227963,3.973941466,3449.818291,0,0,under-expanded
17500,8182.26555,167671.5024,168477.8969,165721.3634,2756.533463,355.9232047,357.6349715,1.980389493,12161.54833,1.486330192,3.973941466,3449.818291,0,0,under-expanded
18000,7565.234491,168098.9329,168905.3273,165721.3634,3183.963946,356.830529,358.5422958,1.985437929,12161.54833,1.607557352,3.973941466,3449.818291,0,0,under-expanded
18500,6994.820253,168494.0709,169300.4654,165721.3634,3579.10197,357.6693048,359.3810715,1.990104955,12161.54833,1.738650586,3.973941466,3449.818291,0,0,under-expanded
19000,6467.494435,168859.3607,169665.7551,165721.3634,3944.391734,358.4447204,360.1564871,1.994419439,12161.54833,1.880411101,3.973941466,3449.818291,0,0,under-expanded
19500,5979.996187,169197.061,170003.4555,165721.3634,4282.092095,359.1615709,360.8733376,1.998408061,12161.54833,2.033705031,3.973941466,3449.818291,0,0,under-expanded
20000,5529.311892,169509.2596,170315.654,165721.3634,4594.290652,359.8242876,361.5360543,2.002095478,12161.54833,2.19946868,3.973941466,3449.818291,0,0,under-expanded
20500,5113.006547,169797.6431,170604.0376,165721.3634,4882.674182,360.4364512,362.1482179,2.005501612,12161.54833,2.378551292,3.973941466,3449.818291,0,0,under-expanded
21000,4728.942293,170063.6926,170870.087,165721.3634,5148.723625,361.0012053,362.7129721,2.008643956,12161.54833,2.571726948,3.973941466,3449.818291,0,0,under-expanded
21500,4374.559365,170309.1811,171115.5756,165721.3634,5394.212185,361.522314,363.2340807,2.011543453,12161.54833,2.780062474,3.973941466,3449.818291,0,0,under-expanded
22000,4047.500024,170535.7421,171342.1365,165721.3634,5620.773118,362.0032442,363.715011,2.014219393,12161.54833,3.004706179,3.973941466,3449.818291,0,0,under-expanded
22500,3745.598861,170744.8754,171551.2698,165721.3634,5829.906448,362.4471802,364.1589469,2.016689494,12161.54833,3.246890226,3.973941466,3449.818291,0,0,under-expanded
23000,3466.8667,170937.9591,171744.3535,165721.3634,6022.990119,362.8570468,364.5688136,2.018970029,12161.54833,3.507936527,3.973941466,3449.818291,0,0,under-expanded
23500,3209.475882,171116.2591,171922.6536,165721.3634,6201.29019,363.2355317,364.9472985,2.021075954,12161.54833,3.789263037,3.973941466,3449.818291,0,0,under-expanded
24000,2971.746808,171280.9391,172087.3336,165721.3634,6365.970155,363.5851047,365.2968714,2.02302101,12161.54833,4.092390475,3.973941466,3449.818291,0,0,under-expanded
24500,2752.135629,171433.0684,172239.4629,165721.3634,6518.09947,363.9080358,365.6198026,2.024817829,12161.54833,4.418949488,3.973941466,3449.818291,0,0,under-expanded
25000,2549.222992,171573.6303,172380.0247,165721.3634,6658.661351,364.2064123,365.9181791,2.026478023,12161.54833,4.77068831,3.973941466,3449.818291,0,0,under-expanded
25500,2361.703737,171703.5288,172509.9233,165721.3634,6788.559911,364.4821534,366.1939201,2.028012272,12161.54833,5.14948092,3.973941466,3449.818291,0,0,under-expanded
26000,2188.377466,171823.5956,172629.9901,165721.3634,6908.62669,364.7370241,366.4487908,2.029430396,12161.54833,5.557335751,3.973941466,3449.818291,0,0,under-expanded
26500,2028.139922,171934.5956,172740.99,165721.3634,7019.626631,364.9726482,366.6844149,2.03074143,12161.54833,5.996404982,3.973941466,3449.818291,0,0,under-expanded
27000,1879.975079,172037.2325,172843.627,165721.3634,7122.263555,365.1905198,366.9022866,2.031953688,12161.54833,6.468994437,3.973941466,3449.818291,0,0,under-expanded
27500,1742.947917,172132.1541,172938.5486,165721.3634,7217.185173,365.3920139,367.1037806,2.033074819,12161.54833,6.97757415,3.973941466,3449.818291,0,0,under-expanded
28000,1616.197786,172219.9566,173026.3511,165721.3634,7304.987673,365.5783958,367.2901626,2.034111866,12161.54833,7.524789623,3.973941466,3449.818291,0,0,under-expanded
28500,1498.932342,172301.1889,173107.5833,165721.3634,7386.21993,365.7508309,367.4625976,2.03507131,12161.54833,8.113473828,3.973941466,3449.818291,0,0,under-expanded
29000,1390.421982,172376.3563,173182.7508,165721.3634,7461.387355,365.9103919,367.6221586,2.035959123,12161.54833,8.746659997,3.973941466,3449.818291,0,0,under-expanded
29500,1289.994745,172445.9244,173252.3188,165721.3634,7530.955429,366.0580669,367.7698336,2.0367808,12161.54833,9.427595248,3.973941466,3449.818291,0,0,under-expanded
30000,1197.03164,172510.3219,173316.7163,165721.3634,7595.35294,366.1947662,367.9065329,2.037541407,12161.54833,10.15975511,3.973941466,3449.818291,0,0,under-expanded
30500,1110.962361,172569.9439,173376.3383,165721.3634,7654.974953,366.3213283,368.033095,2.03824561,12161.54833,10.946859,3.973941466,3449.818291,0,0,under-expanded
31000,1031.261357,172625.1545,173431.5489,165721.3634,7710.185526,366.438526,368.1502927,2.038897709,12161.54833,11.79288668,3.973941466,3449.818291,0,0,under-expanded
31500,957.4442279,172676.2892,173482.6836,165721.3634,7761.320215,366.5470717,368.2588385,2.039501668,12161.54833,12.70209582,3.973941466,3449.818291,0,0,under-expanded
32000,889.0644172,172723.6573,173530.0518,165721.3634,7808.688359,366.647622,368.3593888,2.040061139,12161.54833,13.67904068,3.973941466,3449.818291,0,0,under-expanded
32500,825.7643749,172767.5066,173573.901,165721.3634,7852.537639,366.7407027,368.4524694,2.040579048,12161.54833,14.72762534,3.973941466,3449.818291,0,0,under-expanded
33000,767.309456,172807.9995,173614.394,165721.3634,7893.030599,366.8266588,368.5384255,2.041057316,12161.54833,15.84960049,3.973941466,3449.818291,0,0,under-expanded
33500,713.3137976,172845.4035,173651.7979,165721.3634,7930.434535,366.9060577,368.6178244,2.041499099,12161.54833,17.04936645,3.973941466,3449.818291,0,0,under-expanded
34000,663.4130475,172879.9708,173686.3652,165721.3634,7965.001842,366.9794351,368.6912018,2.041907377,12161.54833,18.33178949,3.973941466,3449.818291,0,0,under-expanded
34500,617.2745726,172911.9319,173718.3263,165721.3634,7996.96294,367.0472802,368.759047,2.042284874,12161.54833,19.70200761,3.973941466,3449.818291,0,0,under-expanded
35000,574.5945305,172941.4972,173747.8917,165721.3634,8026.52831,367.1100399,368.8218066,2.042634074,12161.54833,21.16544395,3.973941466,3449.818291,0,0,under-expanded
35500,535.0952259,172968.8593,173775.2537,165721.3634,8053.890315,367.1681223,368.8798891,2.042957251,12161.54833,22.72782066,3.973941466,3449.818291,0,0,under-expanded
36000,498.5227239,172994.1938,173800.5883,165721.3634,8079.224861,367.221901,368.9336677,2.04325648,12161.54833,24.39517347,3.973941466,3449.818291,0,0,under-expanded
36500,464.6446936,173017.6618,173824.0563,165721.3634,8102.69289,367.2717176,368.9834843,2.043533664,12161.54833,26.17386682,3.973941466,3449.818291,0,0,under-expanded
37000,433.2484582,173039.4107,173845.8051,165721.3634,8124.441728,367.3178847,369.0296514,2.043790542,12161.54833,28.0706096,3.973941466,3449.818291,0,0,under-expanded
37500,404.1392309,173059.5752,173865.9697,165721.3634,8144.606306,367.3606889,369.0724556,2.044028709,12161.54833,30.0924716,3.973941466,3449.818291,0,0,under-expanded
38000,377.1385189,173078.2792,173884.6737,165721.3634,8163.310271,367.4003926,369.1121593,2.044249624,12161.54833,32.24690059,3.973941466,3449.818291,0,0,under-expanded
38500,352.0826768,173095.6359,173902.0304,165721.3634,8180.666984,367.4372364,369.1490031,2.044454626,12161.54833,34.54174014,3.973941466,3449.818291,0,0,under-expanded
39000,328.8215963,173111.7494,173918.1438,165721.3634,8196.780427,367.471441,369.1832078,2.044644944,12161.54833,36.98524813,3.973941466,3449.818291,0,0,under-expanded
39500,307.2175186,173126.715,173933.1094,165721.3634,8211.746029,367.5032091,369.2149759,2.044821705,12161.54833,39.58611601,3.973941466,3449.818291,0,0,under-expanded
40000,287.1439555,173140.6203,173947.0148,165721.3634,8225.651411,367.5327267,369.2444934,2.044985943,12161.54833,42.3534889,3.973941466,3449.818291,0,0,under-expanded
40500,268.4847116,173153.546,173959.9405,165721.3634,8238.577065,367.5601645,369.2719312,2.045138609,12161.54833,45.2969864,3.973941466,3449.818291,0,0,under-expanded
41000,251.1329954,173165.5659,173971.9604,165721.3634,8250.596966,367.5856796,369.2974464,2.045280578,12161.54833,48.42672429,3.973941466,3449.818291,0,0,under-expanded
41500,234.9906115,173176.7481,173983.1425,165721.3634,8261.779137,367.6094165,369.3211832,2.045412652,12161.54833,51.75333709,3.973941466,3449.818291,0,0,under-expanded
42000,219.9672263,173187.1551,173993.5496,165721.3634,8272.186154,367.6315079,369.3432746,2.045535571,12161.54833,55.28800145,3.973941466,3449.818291,0,0,under-expanded
42500,205.9797004,173196.8445,174003.239,165721.3634,8281.87561,367.6520761,369.3638428,2.045650014,12161.54833,59.04246053,3.973941466,3449.818291,0,0,under-expanded
43000,192.9514799,173205.8695,174012.2639,165721.3634,8290.900534,367.6712337,369.3830004,2.045756608,12161.54833,63.02904926,3.973941466,3449.818291,0,0,under-expanded
43500,180.8120433,173214.2787,174020.6732,165721.3634,8299.309779,367.6890843,369.4008511,2.045855931,12161.54833,67.26072064,3.973941466,3449.818291,0,0,under-expanded
44000,169.4963967,173222.1173,174028.5118,165721.3634,8307.148367,367.7057236,369.4174904,2.045948514,12161.54833,71.75107298,3.973941466,3449.818291,0,0,under-expanded
44500,158.9446142,173229.4267,174035.8212,165721.3634,8314.45781,367.7212397,369.4330064,2.046034846,12161.54833,76.51437826,3.973941466,3449.818291,0,0,under-expanded
45000,149.101418,173236.2453,174042.6398,165721.3634,8321.276401,367.7357138,369.4474805,2.046115382,12161.54833,81.56561146,3.973941466,3449.818291,0,0,under-expanded
45500,139.9157963,173242.6084,174049.0029,165721.3634,8327.639475,367.7492209,369.4609877,2.046190537,12161.54833,86.92048113,3.973941466,3449.818291,0,0,under-expanded
46000,131.3406532,173248.5486,174054.9431,165721.3634,8333.579659,367.7618304,369.4735971,2.046260697,12161.54833,92.595461,3.973941466,3449.818291,0,0,under-expanded
46500,123.3324901,173254.096,174060.4905,165721.3634,8339.127083,367.7736062,369.4853729,2.046326218,12161.54833,98.60782281,3.973941466,3449.818291,0,0,under-expanded
