# units: output[-] input[-] src[-] spearman[-] elasticity[-] r_squared[-]
output,input,src,spearman,elasticity,r_squared
chamber.temperature,cooling.bartz_multiplier,-0.004693725467,-0.0164147681,0,0.9817267232
chamber.c_star,chamber.pressure,0.01954166484,-0.009984906996,0.01072513488,0.9999706806
chamber.c_star,propellants.mixture_ratio,-0.2080575341,-0.1631214978,-0.1534243486,0.9999706806
chamber.c_star,chamber.eta_c_star,0.985781667,0.9775919504,1,0.9999706806
chamber.c_star,nozzle.throat_radius,-9.532465175e-05,-0.001843125461,0,0.9999706806
chamber.c_star,nozzle.expansion_ratio,5.832051424e-05,-0.02850682013,0,0.9999706806
chamber.c_star,propellants.fuel_temperature,0.004756572521,-0.0267994942,0.00291908315,0.9999706806
chamber.c_star,cooling.wall_thickness,-7.002812991e-06,-0.03981974795,0,0.9999706806
chamber.c_star,cooling.wall_conductivity,-0.0001986995972,-0.002545530636,0,0.9999706806
chamber.c_star,cooling.channel_height,6.756588067e-05,-0.001864068466,0,0.9999706806
chamber.c_star,cooling.bartz_multiplier,-0.0001503127103,-0.02494330224,0,0.9999706806
cooling.max_wall_temperature,chamber.pressure,0.02604771301,-0.004627945157,0.160874107,0.9933688968
cooling.max_wall_temperature,propellants.mixture_ratio,0.01766359901,0.0192075888,0.1357863786,0.9933688968
cooling.max_wall_temperature,chamber.eta_c_star,-0.01567991345,-0.04208339702,-0.1263580454,0.9933688968
cooling.max_wall_temperature,nozzle.throat_radius,-0.002337512291,-0.01901354275,-0.1406894357,0.9933688968
cooling.max_wall_temperature,nozzle.expansion_ratio,0.003606177728,-0.001343889336,0.09229925496,0.9933688968
cooling.max_wall_temperature,propellants.fuel_temperature,0.0003414051736,0.01924922131,0.004266620292,0.9933688968
cooling.max_wall_temperature,cooling.wall_thickness,0.04053077589,0.01605848201,0.08443648948,0.9933688968
cooling.max_wall_temperature,cooling.wall_conductivity,-0.1017435705,-0.08016100854,-0.2214668863,0.9933688968
cooling.max_wall_temperature,cooling.channel_height,0.03211316462,0.02994308699,0.1703020654,0.9933688968
cooling.max_wall_temperature,cooling.bartz_multiplier,0.9936228358,0.9915917569,0.7187730609,0.9933688968
cooling.max_heat_flux,chamber.pressure,0.1447899895,0.1046901382,0.7769165757,0.9974573551
cooling.max_heat_flux,propellants.mixture_ratio,-0.0351658513,-0.02783861496,-0.2444786093,0.9974573551
cooling.max_heat_flux,chamber.eta_c_star,-0.07730476354,-0.10587043,-0.746299711,0.9974573551
cooling.max_heat_flux,nozzle.throat_radius,-0.002830729687,-0.02379540445,-0.3337926468,0.9974573551
cooling.max_heat_flux,nozzle.expansion_ratio,-0.003723150005,-0.006946068237,-0.2375943719,0.9974573551
cooling.max_heat_flux,propellants.fuel_temperature,0.001975650661,0.01516052779,0.002628356803,0.9974573551
cooling.max_heat_flux,cooling.wall_thickness,-0.01659217036,-0.03690133973,-0.03639852094,0.9974573551
cooling.max_heat_flux,cooling.wall_conductivity,0.04618924861,0.0587896347,0.09460948054,0.9974573551
cooling.max_heat_flux,cooling.channel_height,-0.01374647182,-0.007685449921,-0.07247684871,0.9974573551
cooling.max_heat_flux,cooling.bartz_multiplier,0.9845825965,0.9822583331,0.6932816325,0.9974573551
cooling.pressure_drop,chamber.pressure,0.226735172,0.1787566017,2.106294707,0.988665559
cooling.pressure_drop,propellants.mixture_ratio,-0.07425986463,-0.06482969521,-0.9518276595,0.988665559
cooling.pressure_drop,chamber.eta_c_star,-0.1199158787,-0.1437237659,-2.077510378,0.988665559
cooling.pressure_drop,nozzle.throat_radius,0.0183889794,-0.00147870487,1.70182252,0.988665559
cooling.pressure_drop,nozzle.expansion_ratio,0.009982817488,0.01556836439,0.3746969273,0.988665559
cooling.pressure_drop,propellants.fuel_temperature,0.003865387013,0.008939907735,0.0009109287247,0.988665559
cooling.pressure_drop,cooling.wall_thickness,-0.004599975363,-0.02230791258,-0.02054371692,0.988665559
cooling.pressure_drop,cooling.wall_conductivity,0.01867746449,0.03011105853,0.06414314225,0.988665559
cooling.pressure_drop,cooling.channel_height,-0.2902857891,-0.2651520018,-2.656645186,0.988665559
cooling.pressure_drop,cooling.bartz_multiplier,0.9148785321,0.9145564221,1.16135985,0.988665559
cooling.outlet_temperature,chamber.pressure,-0.03674137793,-0.07063124516,-0.1754822422,0.9958605877
cooling.outlet_temperature,propellants.mixture_ratio,0.04648707969,0.05302280076,0.3315975535,0.9958605877
cooling.outlet_temperature,chamber.eta_c_star,0.01973998653,-0.003230081308,0.2104113313,0.9958605877
cooling.outlet_temperature,nozzle.throat_radius,-0.006243904186,-0.02854673814,-0.3539723913,0.9958605877
cooling.outlet_temperature,nozzle.expansion_ratio,0.00804740344,-0.003372449343,0.1765158347,0.9958605877
cooling.outlet_temperature,propellants.fuel_temperature,0.001236719433,0.01594597749,0.00493075213,0.9958605877
cooling.outlet_temperature,cooling.wall_thickness,-0.005251751947,-0.03138040985,-0.01299212473,0.9958605877
cooling.outlet_temperature,cooling.wall_conductivity,0.02021820865,0.04258901265,0.04097571244,0.9958605877
cooling.outlet_temperature,cooling.channel_height,-0.004485285908,-0.007106481277,-0.02333344132,0.9958605877
cooling.outlet_temperature,cooling.bartz_multiplier,0.993559013,0.9972781938,0.7021277582,0.9958605877
