# units: chamber.pressure[Pa] propellants.mixture_ratio[-] chamber.eta_c_star[-] nozzle.throat_radius[m] nozzle.expansion_ratio[-] propellants.fuel_temperature[K] cooling.wall_thickness[m] cooling.wall_conductivity[W/(m K)] cooling.channel_height[m] cooling.bartz_multiplier[-] performance.thrust[N] performance.isp[s] performance.isp_vacuum[s] performance.mdot[kg/s] performance.exit_pressure[Pa] chamber.temperature[K] chamber.c_star[m/s] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling_energy_residual[-] wall_limit_exceeded[-] coolant_boiling[-] separation_predicted[-] shock_in_nozzle[-] status[-]
chamber.pressure,propellants.mixture_ratio,chamber.eta_c_star,nozzle.throat_radius,nozzle.expansion_ratio,propellants.fuel_temperature,cooling.wall_thickness,cooling.wall_conductivity,cooling.channel_height,cooling.bartz_multiplier,performance.thrust,performance.isp,performance.isp_vacuum,performance.mdot,performance.exit_pressure,chamber.temperature,chamber.c_star,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling_energy_residual,wall_limit_exceeded,coolant_boiling,separation_predicted,shock_in_nozzle,status
5549973.159,3.32924347,0.9446215543,0.06990285385,20.0697243,108.6665438,0.0005972924223,326.9125207,0.004951883606,0.9859188457,137292.5832,285.8694388,350.8701873,48.97322135,33711.30767,3517.383872,1739.690119,784.5408918,50525268.19,3616263.907,483.1301095,7.721804646e-10,0,0,1,0,ok
5641460.414,3.442333196,0.9733495692,0.06989055204,20.06645842,111.5918218,0.0005604790979,302.6452228,0.005002535368,1.278513391,135891.2398,285.5584188,351.1242639,48.52614784,35574.33195,3530.789211,1784.031599,949.7101674,58971871.63,4418211.398,582.6131138,1.197895571e-09,1,0,1,0,ok
5538536.113,3.393164798,0.9616301325,0.07017735867,19.96472022,110.7897799,0.000554130766,297.7220345,0.004922222089,0.9675233463,135687.1335,285.1664918,350.9449327,48.51985555,34615.60509,3524.126073,1766.116719,784.0822807,48619084.65,3391109.886,479.8902342,2.718306869e-09,0,0,1,0,ok
5497514.088,3.406685157,0.9373665419,0.07008433284,20.08858964,110.486181,0.0006480532476,311.3881219,0.00495985021,1.174261415,138051.9408,285.4838972,350.436554,49.31059285,34248.31879,3524.33028,1720.354258,903.759052,56095256.76,4303983.386,546.9893537,1.713301313e-09,1,0,1,0,ok
5485116.606,3.347430441,0.956017396,0.07007477468,20.01220602,114.9742603,0.0006009813306,329.6170932,0.005066699788,1.003981673,134298.9074,284.7419248,351.0648706,48.09505077,33673.68099,3518.652601,1759.376431,794.8195891,50121471.66,3302143.598,492.0512894,5.010055735e-11,0,0,1,0,ok
5528898.734,3.466950352,0.9586416308,0.06988864263,20.01118271,109.9233652,0.0006371313417,350.4082765,0.005030705053,0.9262475709,135074.2803,284.8588293,350.4747876,48.35287499,35280.4202,3529.662702,1754.605223,746.2001628,47386401.3,2988114.075,470.9434536,2.002950616e-11,0,0,1,0,ok
5343196.294,3.384710402,0.9604284168,0.06987325408,20.20657225,109.909154,0.000636464673,326.3317936,0.005027153862,1.174901505,128595.2318,282.22488,351.1458693,46.46317603,32828.41443,3518.493695,1763.85974,888.2077396,54295765.97,3710483.868,553.6157834,5.073447729e-09,1,0,1,0,ok
5577690.291,3.473587166,0.9554028034,0.06970115244,19.87137272,114.9324403,0.0006057407502,314.8883077,0.005042319766,0.9754283756,136498.5688,285.8874172,350.2511488,48.68692893,35981.39953,3531.801025,1748.524835,792.2483267,49245225.2,3188745.951,485.8287541,1.234128175e-10,0,0,1,0,ok
5421457.137,3.390060663,0.971344369,0.06984097185,20.09105287,109.0742128,0.0006600515024,311.6684379,0.00484374291,1.025018727,129246.5837,282.968558,351.2666921,46.57578842,33597.52541,3520.82758,1783.718161,816.1749632,49371788.34,3524884.096,503.7971655,4.486001215e-09,1,0,1,0,ok
5554348.422,3.461980192,0.9648101035,0.06991703611,20.08584853,112.0445123,0.0005876293087,270.4728348,0.004838784443,0.7870015088,134853.5959,284.7763895,350.7794594,48.28785081,35218.32756,3530.166069,1766.489804,689.020439,41421476,2659281.212,415.0262717,6.588006122e-09,0,0,1,0,ok
5431177.013,3.398861787,0.9480698579,0.07015938414,19.95290052,109.1348018,0.000638022011,331.4065518,0.005062375227,0.9880081149,134627.434,284.4644267,350.5244092,48.25973454,34055.1606,3521.880626,1740.325317,789.6012344,49237239.17,3194144.404,488.3807,2.390504433e-09,0,0,1,0,ok
5506792.172,3.383114853,0.936118778,0.06991233191,20.1468718,112.9537195,0.0005722428462,320.1376909,0.005072783173,0.8841798302,137688.835,285.5996059,350.6186474,49.1609703,33913.8093,3522.649901,1720.028684,729.6826995,46575787.11,2943463.636,449.5537605,1.932805079e-09,0,0,1,0,ok
5576759.019,3.427790198,0.966151282,0.06995994537,20.02801069,110.4725967,0.0006371613069,307.4258881,0.004977963663,1.070871186,135369.2336,285.2142947,350.958055,48.39806589,35100.70943,3528.001075,1771.750924,850.4419704,51964794.78,3663400.558,516.8906121,4.136054388e-11,1,0,1,0,ok
5355641.913,3.409510087,0.9664354901,0.06998592275,19.93438406,109.0227608,0.0005833737666,312.7088542,0.004927377619,1.149526777,128850.2101,282.6627622,350.8454567,46.48318272,33755.9805,3520.952237,1772.910997,873.6093603,53303114.52,3757602.335,545.7861655,9.806467611e-10,1,0,1,0,ok
