# units: cooling.channel_height[m] cooling.wall_thickness[m] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling.total_heat_load[W] cooling.energy_balance_residual[-] performance.isp[s] status[-]
cooling.channel_height,cooling.wall_thickness,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling.total_heat_load,cooling.energy_balance_residual,performance.isp,status
0.0045,0.0005,772.1777896,50359041.17,4486334.956,495.3383404,14772851.63,7.190217873e-10,284.689268,ok
0.0045,0.0006,783.6489876,50048805.21,4469332.298,494.2478263,14736240.28,3.853357633e-10,284.689268,ok
0.0045,0.0007,794.969526,49743991.31,4452568.054,493.1683078,14699995.06,1.74759382e-10,284.689268,ok
0.0045,0.0008,806.1430099,49444438.64,4435962.21,492.0996459,14664109.05,5.798494187e-11,284.689268,ok
0.0045,0.0009,817.1729315,49149992.32,4419567.813,491.0415243,14628573.65,3.333097488e-09,284.689268,ok
0.0045,0.001,828.0626682,48860504.3,4403413.246,489.9936592,14593380.35,3.282990206e-09,284.689268,ok
0.0045,0.0011,838.8154681,48575832.49,4387463.882,488.9559108,14558523.87,1.624224803e-09,284.689268,ok
0.0045,0.0012,849.4344873,48295840.22,4371728.537,487.9280734,14523997.83,8.093299289e-09,284.689268,ok
0.0045,0.0013,859.9227638,48020396.53,4356127.932,486.9101224,14489798.67,4.289053929e-11,284.689268,ok
0.0045,0.0014,870.3153386,47749376.5,4340733.319,485.9016862,14455916.89,1.3274335e-10,284.689268,ok
0.0045,0.0015,880.6336094,47482659.61,4325504.563,484.9026656,14422347.93,2.956305059e-10,284.689268,ok
0.0045,0.0016,890.8277962,47220130.31,4310500.3,483.912738,14389083.16,5.507276159e-10,284.689268,ok
0.005,0.0004,775.0346633,50288119.64,3357774.185,495.4443036,14741024.64,6.849760262e-10,284.689268,ok
0.005,0.0005,786.4220647,49978731.19,3346142.795,494.3598858,14704587.87,3.744875444e-10,284.689268,ok
0.005,0.0006,797.7220414,49674738.89,3334664.566,493.2863622,14668514.62,1.7545583e-10,284.689268,ok
0.005,0.0007,808.875514,49375983.16,3323297.46,492.2235457,14632797.5,6.220274549e-11,284.689268,ok
0.005,0.0008,819.8859421,49082310.4,3312044.168,491.1712144,14597429.39,4.663494203e-09,284.689268,ok
0.005,0.0009,830.7566798,48793573.6,3300946.702,490.1290469,14562400.75,2.60115138e-09,284.689268,ok
0.005,0.001,841.4909585,48509631.61,3289983.716,489.0968916,14527706.28,2.249654007e-09,284.689268,ok
0.005,0.0011,852.091941,48230348.08,3279163.802,488.0745728,14493340.52,5.525219828e-09,284.689268,ok
0.005,0.0012,862.5626102,47955593.86,3268431.039,487.0620271,14459299.41,2.981651956e-11,284.689268,ok
0.005,0.0013,872.9058831,47685244.55,3257820.782,486.0589251,14425573.45,1.000781082e-10,284.689268,ok
0.005,0.0014,883.1795612,47419180.42,3247322.873,485.0651389,14392158.1,2.317417274e-10,284.689268,ok
0.005,0.0015,893.3571437,47157286.72,3236959.275,484.0803974,14359045.12,4.41864766e-10,284.689268,ok
0.005,0.0016,903.4137251,46899452.85,3226729.228,483.1045638,14326230.02,7.466434789e-10,284.689268,ok
0.0055,0.0004,788.4412564,49929181.09,2622342.065,494.1908823,14676759.66,3.158696611e-10,284.689268,ok
0.0055,0.0005,799.7218495,49625689.77,2613755.641,493.1229452,14640831.58,1.44280008e-10,284.689268,ok
0.0055,0.0006,810.8635689,49327420.13,2605260.515,492.065587,14605256.83,4.852739762e-11,284.689268,ok
0.0055,0.0007,821.8625687,49034219.09,2596843.378,491.0186371,14570029.42,3.141318109e-09,284.689268,ok
0.0055,0.0008,832.7221786,48745940.24,2588537.119,489.981773,14535139.52,2.820445059e-09,284.689268,ok
0.0055,0.0009,843.4456449,48462442.62,2580334.264,488.9548484,14500582.33,1.601331625e-09,284.689268,ok
0.0055,0.001,854.0361022,48183590.73,2572232.313,487.9377006,14466352.43,6.619625509e-09,284.689268,ok
0.0055,0.0011,864.4965135,47909256.57,2564190.219,486.9302376,14432445.2,3.288966948e-11,284.689268,ok
0.0055,0.0012,874.8297823,47639315.77,2556240.302,485.9321337,14398851.17,1.036163507e-10,284.689268,ok
0.0055,0.0013,885.0386918,47373649.48,2548374.731,484.9432443,14365565.25,2.328251128e-10,284.689268,ok
0.0055,0.0014,895.1935185,47112142.99,2540598.018,483.9633602,14332580.66,4.361330644e-10,284.689268,ok
0.0055,0.0015,905.2407982,46854686.08,2532921.448,482.9923171,14299892.35,7.283900032e-10,284.689268,ok
0.0055,0.0016,915.1699077,46601172.69,2525303.428,482.0300195,14267495.86,1.123684959e-09,284.689268,ok
0.006,0.0004,801.0607994,49594307.07,2113110.576,492.8436701,14616305.66,1.081993751e-10,284.689268,ok
0.006,0.0005,812.1982062,49296247.9,2106469.869,491.7904757,14580850.8,3.209720073e-11,284.689268,ok
0.006,0.0006,823.193034,49003250.93,2099893.437,490.747597,14545741.13,9.461628465e-10,284.689268,ok
0.006,0.0007,834.0486177,48715170.04,2093399.983,489.7147564,14510967.92,3.071585402e-09,284.689268,ok
0.006,0.0008,844.768225,48431863.47,2086992.574,488.6918167,14476526.88,2.036954021e-10,284.689268,ok
0.006,0.0009,855.3549194,48153197.98,2080650.413,487.6786101,14442411.84,9.380201004e-09,284.689268,ok
0.006,0.001,865.8116866,47879044.99,2074359.896,486.6749893,14408617.14,4.342047344e-11,284.689268,ok
0.006,0.0011,876.1414045,47609280.75,2068138.245,485.6806644,14375134.06,1.227388131e-10,284.689268,ok
0.006,0.0012,886.3468776,47343786,2061984.095,484.6954856,14341957.47,2.612317568e-10,284.689268,ok
0.006,0.0013,896.4308075,47082446.41,2055895.122,483.7192802,14309081.55,4.735353554e-10,284.689268,ok
0.006,0.0014,906.4687218,46825152.09,2049883.996,482.7518516,14276500.19,7.735894702e-10,284.689268,ok
0.006,0.0015,916.3948318,46571889.78,2043914.137,481.7931389,14244210.25,1.174603909e-09,284.689268,ok
0.006,0.0016,926.20542,46322876.03,2037988.207,480.8430505,14212208.79,1.689116485e-09,284.689268,ok
0.0065,0.0004,812.9537151,49280452.98,1742866.207,491.4622535,14559117.58,7.698369211e-09,284.689268,ok
0.0065,0.0005,823.950911,48987421.37,1737545.641,490.4227956,14524105.63,9.923496887e-10,284.689268,ok
0.0065,0.0006,834.8088866,48699305.38,1732294.27,489.3933777,14489430.88,2.845419845e-09,284.689268,ok
0.0065,0.0007,845.5308498,48415965.02,1727110.15,488.3737876,14455086.2,1.971806044e-09,284.689268,ok
0.0065,0.0008,856.1198684,48137267.13,1721967.993,487.3639249,14421067.34,1.451024924e-11,284.689268,ok
0.0065,0.0009,866.5789342,47863082.45,1716875.693,486.3635352,14387366.16,6.002712225e-11,284.689268,ok
0.0065,0.001,876.9109364,47593287.09,1711836.221,485.3724263,14353976.32,1.523727738e-10,284.689268,ok
0.0065,0.0011,887.1186705,47327762.05,1706851.712,484.3904065,14320891.52,3.061640317e-10,284.689268,ok
0.0065,0.0012,897.2048327,47066393.07,1701919.342,483.4173223,14288106.54,5.353134193e-10,284.689268,ok
0.0065,0.0013,907.1685874,46809070.14,1697048.02,482.4529688,14255614.84,8.530817315e-10,284.689268,ok
0.0065,0.0014,917.0958108,46555989.71,1692206.541,481.4973578,14223415.9,1.271996612e-09,284.689268,ok
0.0065,0.0015,926.9088176,46306962.93,1687405.948,480.5502619,14191502.47,1.804050034e-09,284.689268,ok
0.0065,0.0016,936.6086399,46061654.29,1682658.434,479.6114552,14159867.37,2.460616357e-09,284.689268,ok
0.007,0.0004,824.1969073,48985107.69,1463281.743,490.0934005,14504778.53,2.248021524e-09,284.689268,ok
0.007,0.0005,835.063043,48696748.08,1458923.402,489.0671193,14470184.78,2.00515811e-09,284.689268,ok
0.007,0.0006,845.7929786,48413171.9,1454618.709,488.0505884,14435918.8,4.734674351e-09,284.689268,ok
0.007,0.0007,856.389833,48134244.31,1450341.75,487.043809,14401979.59,2.394437484e-11,284.689268,ok
0.007,0.0008,866.8565872,47859836.09,1446112.109,486.0464181,14368355.85,8.085906873e-11,284.689268,ok
0.007,0.0009,877.1961331,47589823.28,1441925.46,485.0582834,14335042.98,1.878116299e-10,284.689268,ok
0.007,0.001,887.411269,47324086.65,1437783.987,484.0791939,14302033.99,3.588010996e-10,284.689268,ok
0.007,0.0011,897.504699,47062511.67,1433686.845,483.1090138,14269324.35,6.071415518e-10,284.689268,ok
0.007,0.0012,907.4682419,46804987.57,1429637.376,482.1475629,14236908.13,9.455208623e-10,284.689268,ok
0.007,0.0013,917.3293357,46551955.01,1425612.279,481.1948382,14204784.53,1.385925522e-09,284.689268,ok
0.007,0.0014,927.1495697,46302751.66,1421624.023,480.2505491,14172944.23,1.939873901e-09,284.689268,ok
